title,doi,authors,year,methodological_clarity,methodological_clarity_notes,ai_appropriateness,ai_appropriateness_notes,dataset_quality,dataset_quality_notes,results_transparency,results_transparency_notes,replicability,replicability_notes,sample_size_adequacy,sample_size_adequacy_notes,evaluation_rigor,evaluation_rigor_notes,overall_quality_score,risk_of_bias,quality_notes
FretNet: Continuous-valued pitch contour streaming for polyphonic guitar tablature transcription,,"F Cwitkowitz, T Hirvonen, ...",2023,,,,,,,,,,,,,,,,,
Evaluation of cnn-based automatic music tagging models,,"M Won, A Ferraro, D Bogdanov, X Serra",2020,,,,,,,,,,,,,,,,,
Deep learning conditioned modeling of optical compression,,"R Simionato, S Fasciani",2022,,,,,,,,,,,,,,,,,
Generative models in artificial intelligence and their applications,,"M Castelli, L Manzoni",2022,,,,,,,,,,,,,,,,,
Sample rate independent recurrent neural networks for audio effects processing,,"A Carson, A Wright, J Chowdhury, V Välimäki, ...",2024,,,,,,,,,,,,,,,,,
Modelling black-box audio effects with time-varying feature modulation,,"M Comunità, CJ Steinmetz, H Phan, ...",2023,,,,,,,,,,,,,,,,,
Predominant instrument recognition in polyphonic music using gmm-dnn framework,,"R Ajayakumar, R Rajan",2020,,,,,,,,,,,,,,,,,
On the impact of perceptual compression on deep learning,,"G Friedland, R Jia, J Wang, B Li, ...",2020,,,,,,,,,,,,,,,,,
Usage of deep learning and blockchain in compilation and copyright protection of digital music,,Z Cai,2020,,,,,,,,,,,,,,,,,
Marble: Music audio representation benchmark for universal evaluation,,"R Yuan, Y Ma, Y Li, G Zhang, X Chen, ...",2023,,,,,,,,,,,,,,,,,
Differentiable grey-box modelling of phaser effects using frame-based spectral processing,,"A Carson, C Valentini-Botinhao, S King, ...",2023,,,,,,,,,,,,,,,,,
Musical instrument recognition by XGBoost combining feature fusion,,"Y Liu, Y Yin, Q Zhu, W Cui",2022,,,,,,,,,,,,,,,,,
Musical instrument classification using audio features and convolutional neural network,,"GAVM Giri, ML Radhitya",2024,,,,,,,,,,,,,,,,,
Opportunities and challenges in explainable artificial intelligence (xai): A survey,,"A Das, P Rad",2020,,,,,,,,,,,,,,,,,
An end-to-end musical instrument system that translates electromyogram biosignals to synthesized sound,,"A Tanaka, F Visi, BD Donato, M Klang, ...",2023,,,,,,,,,,,,,,,,,
Art in the age of machine learning,,S Audry,2021,,,,,,,,,,,,,,,,,
Timbre classification of musical instruments with a deep learning multi-head attention-based model,,"C Hernandez-Olivan, JR Beltran",2021,,,,,,,,,,,,,,,,,
An interpretable deep learning model for automatic sound classification,,"P Zinemanas, M Rocamora, M Miron, F Font, X Serra",2021,,,,,,,,,,,,,,,,,
Automatic note generator for Javanese gamelan music accompaniment using deep learning,,"A Kurniawati, EM Yuniarno, YK Suprapto, ...",2023,,,,,,,,,,,,,,,,,
Open-amp: Synthetic data framework for audio effect foundation models,,"A Wright, A Carson, L Juvela",2025,,,,,,,,,,,,,,,,,
Self-designed hierarchical network based hand shape intelligent recognition and evaluation for Chinese zither performing,,"W Zhao, S Wang, Y Zhao, J Wei, T Li, R Zhang",2023,,,,,,,,,,,,,,,,,
Music source separation based on a lightweight deep learning framework (DTTNET: Dual-path TFC-TDF UNet),,"J Chen, S Vekkot, P Shukla",2024,,,,,,,,,,,,,,,,,
Neurocognition-inspired design with machine learning,,"P Wang, S Wang, D Peng, L Chen, C Wu, Z Wei, ...",2020,,,,,,,,,,,,,,,,,
Design considerations for real-time collaboration with creative artificial intelligence,,"J McCormack, P Hutchings, T Gifford, M Yee-King, ...",2020,,,,,,,,,,,,,,,,,
Deep learning safety concerns in automated driving perception,,"S Abrecht, A Hirsch, S Raafatnia, ...",2024,,,,,,,,,,,,,,,,,
College music education and teaching based on AI techniques,,"J Wei, M Karuppiah, A Prathik",2022,,,,,,,,,,,,,,,,,
Deep learning for automatic mixing,,"CJ Steinmetz, SS Vanka, ...",2022,,,,,,,,,,,,,,,,,
Design of music training assistant system based on artificial intelligence,,"H Zhihan, Y Liang, T Jin",2022,,,,,,,,,,,,,,,,,
Reflexions upon Feedback.,,"T Magnusson, C Kiefer, H Ulfarsson",2022,,,,,,,,,,,,,,,,,
Overview: Machine learning for segmentation and classification of complex steel microstructures,,"M Müller, M Stiefel, BI Bachmann, D Britz, F Mücklich",2024,,,,,,,,,,,,,,,,,
Recent advances and trends in multimodal deep learning: A review,,"J Summaira, X Li, AM Shoib, S Li, J Abdul",2021,,,,,,,,,,,,,,,,,
Deep learning for identification of water deficits in sugarcane based on thermal images,,"LL de Melo, VGML de Melo, PAA Marques, ...",2022,,,,,,,,,,,,,,,,,
Harmonics based representation in clarinet tone quality evaluation,,"Y Wang, X Guan, Y Du, N Nan",2020,,,,,,,,,,,,,,,,,
"Artificial Intelligence in Music, Sound, Art and Design: 11th International Conference, EvoMUSART 2022, Held as Part of EvoStar 2022, Madrid, Spain, April …",,"T Martins, N Rodríguez-Fernández, SM Rebelo",2022,,,,,,,,,,,,,,,,,
Chai: Interactive ai tools in chuck,,"Y Li, G Wang",2024,,,,,,,,,,,,,,,,,
The song describer dataset: a corpus of audio captions for music-and-language evaluation,,"I Manco, B Weck, S Doh, M Won, Y Zhang, ...",2023,,,,,,,,,,,,,,,,,
Analysis of the regulatory development cryptocurrencies for trading in business with deep learning techniques,,"UN Dulhare, S Rasool, MN Khan, B Pant, ...",2022,,,,,,,,,,,,,,,,,
Classification of EEG signals using Transformer based deep learning and ensemble models,,"M Zeynali, H Seyedarabi, R Afrouzian",2023,,,,,,,,,,,,,,,,,
Leveraging deep learning model for image caption generation for scenes description,,"VG Biradar, G Mukund, S Agarwal, ...",2023,,,,,,,,,,,,,,,,,
Machine learning for middle schoolers: Learning through data-driven design,,"H Vartiainen, T Toivonen, I Jormanainen, ...",2021,,,,,,,,,,,,,,,,,
Artist comprehensive ability evaluation and cultivation assistant system based on artificial intelligence,,Z Hu,2020,,,,,,,,,,,,,,,,,
A more practical approach to machine unlearning,,D Zagardo,2024,,,,,,,,,,,,,,,,,
The living looper: Rethinking the musical loop as a machine action-perception loop,,"V Shepardson, T Magnusson",2023,,,,,,,,,,,,,,,,,
Differentiable signal processing with black-box audio effects,,"MAM Ramírez, O Wang, P Smaragdis, ...",2021,,,,,,,,,,,,,,,,,
Automatic Classification of Playing Techniques in Guitar Pro Songs,,J Wang,2022,,,,,,,,,,,,,,,,,
Rhythm Guitar Tablature Continuation from Chord Progression and Tablature Prompt,,"A D'Hooge, L Bigo, K Déguernel",2023,,,,,,,,,,,,,,,,,
Tailorscore: Application of innovative teaching and artificial intelligence to encourage creativity,,"M Kučić, L Luić",2023,,,,,,,,,,,,,,,,,
Automatic Identification of Guitar Types from Prerecorded Audio.,,"L Ivanov, J Dunn",2020,,,,,,,,,,,,,,,,,
Embedded ai for nime: Challenges and opportunities,,"T Pelinski, V Shepardson, S Symons, FS Caspe, ...",2022,,,,,,,,,,,,,,,,,
Review study of interpretation methods for future interpretable machine learning,,"JX Mi, AD Li, LF Zhou",2020,,,,,,,,,,,,,,,,,
Detection of tactile feedback on touch-screen devices using eeg data,,"H Alsuradi, C Pawar, W Park, ...",2020,,,,,,,,,,,,,,,,,
Human Action recognition using deep learning methods,,"M Shrestha, SP Pandey",2023,,,,,,,,,,,,,,,,,
Highly Efficient Machine Learning Approach for Automatic Disease and Color Classification of Olive Fruits,,"NMH Hassan, AA Donkol, MM Mabrook, ...",2024,,,,,,,,,,,,,,,,,
Global Hyperorgan: a platform for telematic musicking and research,,"R Harlow, M Petersson, R Ek, F Visi, S Östersjö",2021,,,,,,,,,,,,,,,,,
Dplm: A deep perceptual spatial-audio localization metric,,"P Manocha, A Kumar, B Xu, A Menon, ...",2021,,,,,,,,,,,,,,,,,
A deep learning approach to intelligent drum mixing with the Wave-U-Net,,"M Martinez Ramirez, D Stoller, ...",2021,,,,,,,,,,,,,,,,,
A comparison study of deep learning methodologies for music emotion recognition,,"PL Louro, H Redinho, R Malheiro, RP Paiva, R Panda",2024,,,,,,,,,,,,,,,,,
"Artificial Intelligence in Music, Sound, Art and Design: 12th International Conference, EvoMUSART 2023, Held as Part of EvoStar 2023, Brno, Czech Republic …",,"C Johnson, N Rodríguez-Fernández, SM Rebelo",2023,,,,,,,,,,,,,,,,,
A picture is worth 500 labels: A case study of demographic disparities in local machine learning models for Instagram and TikTok,,"J West, L Thiemt, S Ahmed, M Bartig, ...",2024,,,,,,,,,,,,,,,,,
Music Genre Classification using Machine Learning A Comparative Study,,"S Poonia, C Verma, N Malik",2022,,,,,,,,,,,,,,,,,
Neural modeling of phaser and flanging effects,,"A Wright, V Valimaki",2021,,,,,,,,,,,,,,,,,
Automatic image annotation based on deep learning models: a systematic review and future challenges,,"MM Adnan, MSM Rahim, A Rehman, Z Mehmood, ...",2021,,,,,,,,,,,,,,,,,
Bubblex: An explainable deep learning framework for point-cloud classification,,"F Matrone, M Paolanti, A Felicetti, ...",2022,,,,,,,,,,,,,,,,,
Machine learning in chemical product engineering: the state of the art and a guide for newcomers,,"C Trinh, D Meimaroglou, S Hoppe",2021,,,,,,,,,,,,,,,,,
"Artificial Intelligence, Humanness, and Nonverbal Sociality",,R Banerji,2023,,,,,,,,,,,,,,,,,
Detecting and classifying musical instruments with convolutional neural networks,,"DS Hing, CJ Settle",2021,,,,,,,,,,,,,,,,,
Vggsound: A large-scale audio-visual dataset,,"H Chen, W Xie, A Vedaldi, ...",2020,,,,,,,,,,,,,,,,,
Supervised deep learning techniques for image description: A systematic review,,"M López-Sánchez, B Hernández-Ocaña, ...",2023,,,,,,,,,,,,,,,,,
"BioPoint: Enhancing Human-Computer Interaction through Single-Site, Multi-Sensor Gesture Recognition",,"X Isabel, E Campbell, L Olivier, G Gagné, ...",2024,,,,,,,,,,,,,,,,,
Federated deep learning for heterogeneous edge computing,,"KM Ahmed, A Imteaj, MH Amini",2021,,,,,,,,,,,,,,,,,
Multisensory plucked instrument modeling in Unity3D: From Keytar to accurate string prototyping,,"F Fontana, R Paisa, R Ranon, S Serafin",2020,,,,,,,,,,,,,,,,,
Attention-based hybrid deep learning network for human activity recognition using WiFi channel state information,,"S Mekruksavanich, W Phaphan, N Hnoohom, ...",2023,,,,,,,,,,,,,,,,,
System and method for generating emoji mashups with machine learning,,"T Woo, WT Kuo, V Komma",2020,,,,,,,,,,,,,,,,,
A Black Box Modeling Technique for Distortion Stomp Boxes Using LSTM Neural Networks,,"Y Matsunaga, A Naofumi, Y Dobashi, ...",2020,,,,,,,,,,,,,,,,,
Evaluation of Timbre-Based Control of a Parametric Synthesizer,,"J Gregorio, YE Kim",2021,,,,,,,,,,,,,,,,,
Resampling filter design for multirate neural audio effect processing,,"A Carson, V Välimäki, A Wright, ...",2025,,,,,,,,,,,,,,,,,
Differentiable white-box virtual analog modeling,,"F Esqueda, B Kuznetsov, ...",2021,,,,,,,,,,,,,,,,,
Point cloud deep learning network based on local domain multi-level feature,,"X Han, X Chen, H Deng, P Wan, J Li",2023,,,,,,,,,,,,,,,,,
Explainable machine learning for predicting the mechanical properties in bainitic steels,,"M Ackermann, D Iren, Y Yao",2023,,,,,,,,,,,,,,,,,
Seabed classification using physics-based modeling and machine learning,,"C Frederick, S Villar, ZH Michalopoulou",2020,,,,,,,,,,,,,,,,,
Analysis of explainers of black box deep neural networks for computer vision: A survey,,"V Buhrmester, D Münch, M Arens",2021,,,,,,,,,,,,,,,,,
Grey-box modelling of dynamic range compression,,"A Wright, V Valimaki",2022,,,,,,,,,,,,,,,,,
Machine learning: hands-on for developers and technical professionals,,J Bell,2020,,,,,,,,,,,,,,,,,
From ChatGPT to CatGPT: The implications of artificial intelligence on library cataloging,,R Brzustowicz,2023,,,,,,,,,,,,,,,,,
An artificial intelligence of things based method for early detection of bark beetle infested trees,,"P Knebel, C Appold, A Guldner, M Horbach, Y Juncker, ...",2022,,,,,,,,,,,,,,,,,
A multi-criteria evaluation framework for facial expression recognition models,,"A Mouakher, S Chatry, ...",2023,,,,,,,,,,,,,,,,,
Machine Learning Approaches for Musical Instrument Recognition using Distinctive Audio Features,,"R Bhagyalakshmi, ...",2025,,,,,,,,,,,,,,,,,
Fusion mechanisms for human activity recognition using automated machine learning,,"AC Popescu, I Mocanu, B Cramariuc",2020,,,,,,,,,,,,,,,,,
Reflexions upon feedback: A study of feedback musicianship terminology,,"T Magnusson, C Kiefer, H Ulfarsson",2022,,,,,,,,,,,,,,,,,
Accelerating business growth with big data and artificial intelligence,,"A Ghimire, S Thapa, AK Jha, ...",2020,,,,,,,,,,,,,,,,,
Depression detection from social media textual data using natural language processing and machine learning techniques,,"AF Redoy, MA Hossain",2023,,,,,,,,,,,,,,,,,
Compact convolutional transformers for multiple predominant instrument recognition in polyphonic music,,"CR Lekshmi, R Rajan",2024,,,,,,,,,,,,,,,,,
Deep Learning in Adaptive Learning: Educational Behavior and Strategy,,"CC Chen, P Hung, E Eğrioğlu, KL Hsiao",2022,,,,,,,,,,,,,,,,,
Vision based dynamic thermal comfort control using fuzzy logic and deep learning,,"M Al-Faris, J Chiverton, D Ndzi, AI Ahmed",2021,,,,,,,,,,,,,,,,,
Decoding human brain activity with deep learning,,"X Zheng, W Chen, M Li, T Zhang, Y You, ...",2020,,,,,,,,,,,,,,,,,
A CSI-based human activity recognition using deep learning,,"PF Moshiri, R Shahbazian, M Nabati, SA Ghorashi",2021,,,,,,,,,,,,,,,,,
The use of artificial intelligence in the education of people with visual impairment,,"A Tsouktakou, A Hamouroudis, A Horti",2024,,,,,,,,,,,,,,,,,
Requirement formalisation using natural language processing and machine learning: A systematic review,,"S Kolahdouz-Rahimi, K Lano, C Lin",2023,,,,,,,,,,,,,,,,,
Training spiking neural networks using lessons from deep learning,,"JK Eshraghian, M Ward, EO Neftci, ...",2023,,,,,,,,,,,,,,,,,
Sentiment Analysis Using E-Commerce Review Keyword-Generated Image with a Hybrid Machine Learning-Based Model.,,"J Li, Y Huang, Y Lu, L Wang, Y Ren, ...",2024,,,,,,,,,,,,,,,,,
High-fidelity noise reduction with differentiable signal processing,,"CJ Steinmetz, T Walther, JD Reiss",2023,,,,,,,,,,,,,,,,,
Predicting emotion from color present in images and video excerpts by machine learning,,"A Wędołowska, D Weber, B Kostek",2023,,,,,,,,,,,,,,,,,
Recognizing similar musical instruments with YOLO models,,"C Dewi, APS Chen, HJ Christanto",2023,,,,,,,,,,,,,,,,,
Arabic music genre identification,,"M Ahmed, S Fadel, ME Helal, ...",2024,,,,,,,,,,,,,,,,,
Classification of heavy metal subgenres with machine learning,,T Rönnberg,2020,,,,,,,,,,,,,,,,,
A deep learning framework for audio restoration using Convolutional/Deconvolutional Deep Autoencoders,,"A Nogales, S Donaher, A Garcia-Tejedor",2023,,,,,,,,,,,,,,,,,
Automated corrosion detection using crowdsourced training for deep learning,,"WT Nash, CJ Powell, T Drummond, N Birbilis",2020,,,,,,,,,,,,,,,,,
Learning latent characteristics of data and models using item response theory,,JP Lalor,2024,,,,,,,,,,,,,,,,,
Dissecting the genre of Nigerian music with machine learning models,,"SO Folorunso, SA Afolabi, AB Owodeyi",2022,,,,,,,,,,,,,,,,,
Fake news detection using deep learning: A systematic literature review,,"MQ Alnabhan, P Branco",2024,,,,,,,,,,,,,,,,,
Efficient neural networks for real-time analog audio effect modeling,,"CJ Steinmetz, JD Reiss",2021,,,,,,,,,,,,,,,,,
Modeling plate and spring reverberation using a dsp-informed deep neural network,,"MAM Ramírez, E Benetos, ...",2020,,,,,,,,,,,,,,,,,
Towards efficient modelling of string dynamics: A comparison of state space and koopman based deep learning methods,,"R Diaz, CDLV Martin, M Sandler",2024,,,,,,,,,,,,,,,,,
Towards zero-shot amplifier modeling: One-to-many amplifier modeling via tone embedding control,,"YH Chen, YT Yeh, YC Cheng, JT Wu, YH Ho, ...",2024,,,,,,,,,,,,,,,,,
Moisesdb: A dataset for source separation beyond 4-stems,,"I Pereira, F Araújo, F Korzeniowski, R Vogl",2023,,,,,,,,,,,,,,,,,
A novel method for sleep-stage classification based on sonification of sleep electroencephalogram signals using wavelet transform and recurrent neural network,,"F Moradi, H Mohammadi, M Rezaei, P Sariaslani, ...",2020,,,,,,,,,,,,,,,,,
A dimension space for the evaluation of accessible digital musical instruments,,"N Davanzo, F Avanzini",2020,,,,,,,,,,,,,,,,,
A robust hybrid neural network architecture for blind source separation of speech signals exploiting deep learning,,"S Ansari, KA Alnajjar, T Khater, S Mahmoud, ...",2023,,,,,,,,,,,,,,,,,
Spire muse: A virtual musical partner for creative brainstorming,,"NJW Thelle, P Pasquier",2021,,,,,,,,,,,,,,,,,
A depression detection model using deep learning and textual entailment,,"M Elshazly, MH Haggag, SA Ehssan",2021,,,,,,,,,,,,,,,,,
NeuralLog: Natural language inference with joint neural and logical reasoning,,"Z Chen, Q Gao, LS Moss",2021,,,,,,,,,,,,,,,,,
Attribute value generation from product title using language models,,"K Roy, P Goyal, M Pandey",2021,,,,,,,,,,,,,,,,,
The evolution of artificial intelligence in medical imaging: from computer science to machine and deep learning,,"M Avanzo, J Stancanello, G Pirrone, A Drigo, A Retico",2024,,,,,,,,,,,,,,,,,
Combining Deep Learning Techniques for Enhanced Human Activity Recognition: A Hybrid CNN-LSTM Fusion Approach,,"M Prabu, R Naidu, P Asif",2024,,,,,,,,,,,,,,,,,
Practice of praxis,,L Ritchie,2023,,,,,,,,,,,,,,,,,
Reverse engineering memoryless distortion effects with differentiable waveshapers,,"JT Colonel, M Comunità, J Reiss",2022,,,,,,,,,,,,,,,,,
Machine learning: a practitioner's approach,,"SS Vinod Chandra, AS HAREENDRAN",2021,,,,,,,,,,,,,,,,,
Deep Learning Tools for Audacity: Helping Researchers Expand the Artist's Toolkit,,"HF Garcia, A Aguilar, E Manilow, D Vedenko, ...",2021,,,,,,,,,,,,,,,,,
NablAFx: A framework for differentiable black-box and gray-box modeling of audio effects,,"M Comunità, CJ Steinmetz, JD Reiss",2025,,,,,,,,,,,,,,,,,
A new deep-learning method for human activity recognition,,"R Vrskova, P Kamencay, R Hudec, P Sykora",2023,,,,,,,,,,,,,,,,,
An unequal deep learning approach for 3-D point cloud segmentation,,"J Wang, C Xu, L Dai, J Zhang, ...",2020,,,,,,,,,,,,,,,,,
Avsegformer: Audio-visual segmentation with transformer,,"S Gao, Z Chen, G Chen, W Wang, T Lu",2024,,,,,,,,,,,,,,,,,
A machine learning approach to anaphora resolution in Nepali language,,"A Senapati, A Poudyal, P Adhikary, ...",2020,,,,,,,,,,,,,,,,,
"Advancing stuttering detection via data augmentation, class-balanced loss and multi-contextual deep learning",,"SA Sheikh, M Sahidullah, F Hirsch, ...",2023,,,,,,,,,,,,,,,,,
"Natural Language Understanding with Python: Combine natural language technology, deep learning, and large language models to create human-like …",,DA Dahl,2023,,,,,,,,,,,,,,,,,
Discriminative adversarial domain generalization with meta-learning based cross-domain validation,,"K Chen, D Zhuang, JM Chang",2022,,,,,,,,,,,,,,,,,
"Deep learning-based motion style transfer tools, techniques and future challenges",,"SMA Akber, SN Kazmi, SM Mohsin, A Szczęsna",2023,,,,,,,,,,,,,,,,,
Text Generation with Gan Networks Using Feedback Score,,D Kuznetsov,2023,,,,,,,,,,,,,,,,,
Deep neural network modeling of distortion stomp box using spectral features,,"K Yoshimoto, H Kuroda, D Kitahara, ...",2020,,,,,,,,,,,,,,,,,
Efficient neural networks for real-time modeling of analog dynamic range compression,,"CJ Steinmetz, JD Reiss",2021,,,,,,,,,,,,,,,,,
From imagenet to image classification: Contextualizing progress on benchmarks,,"D Tsipras, S Santurkar, L Engstrom, ...",2020,,,,,,,,,,,,,,,,,
Genre based music classification using machine learning and convolutional neural networks,,"V Shah, A Tandle, N Sharma, ...",2021,,,,,,,,,,,,,,,,,
m6ATM: a deep learning framework for demystifying the m6A epitranscriptome with Nanopore long-read RNA-seq data,,"B Yu, G Nagae, Y Midorikawa, K Tatsuno, ...",2024,,,,,,,,,,,,,,,,,
Human Action Recognition using an Ensemble Deep Learning Model for Video,,"R Kaur, DV Sharma",2023,,,,,,,,,,,,,,,,,
Deep learning approaches to image texture analysis in material processing,,"X Liu, C Aldrich",2022,,,,,,,,,,,,,,,,,
"Machine Learning and Knowledge Discovery in Databases: International Workshops of ECML PKDD 2019, Würzburg, Germany, September 16–20, 2019 …",,"P Cellier, K Driessens",2020,,,,,,,,,,,,,,,,,
A comprehensive literature review on children's databases for machine learning applications,,"S Al-Azani, SM Sait, KA Al-Utaibi",2022,,,,,,,,,,,,,,,,,
Score Genaration for Taiko no Tatsujin Based on Machine Learning,,"R Li, Y Chen",2020,,,,,,,,,,,,,,,,,
Artificial intelligence aided design of tissue engineering scaffolds employing virtual tomography and 3D convolutional neural networks,,"MD Bermejillo Barrera, F Franco-Martínez, ...",2021,,,,,,,,,,,,,,,,,
Exposure bias and state matching in recurrent neural network virtual analog models,,"A Peussa, EP Damskägg, T Sherson, ...",2021,,,,,,,,,,,,,,,,,
Artificial intelligence in supply chain management: investigation of transfer learning to improve demand forecasting of intermittent time series with deep learning,,"D Kiefer, F Grimm, C van Dinther",2022,,,,,,,,,,,,,,,,,
Predicting House Price in India Using Linear Regression Machine Learning Algorithms,,"A Verma, C Nagar, N Singhi, ...",2022,,,,,,,,,,,,,,,,,
Deep learning bidirectional LSTM based detection of prolongation and repetition in stuttered speech using weighted MFCC,,"S Gupta, RS Shukla, RK Shukla, ...",2020,,,,,,,,,,,,,,,,,
Predicting eBay prices: selecting and interpreting machine learning models–Results of the AG DANK 2018 Data Science Competition,,"G Szepannek, R Aschenbruck",2020,,,,,,,,,,,,,,,,,
Sentence-level classification using parallel fuzzy deep learning classifier,,"F Es-Sabery, A Hair, J Qadir, B Sainz-De-Abajo, ...",2021,,,,,,,,,,,,,,,,,
A deep learning-based automated framework for functional User Interface testing,,"Z Khaliq, SU Farooq, DA Khan",2022,,,,,,,,,,,,,,,,,
Fostering creativity in engineering design through constructive dialogues with generative artificial intelligence,,"WS Requejo, FF Martinez, CA Vega, ...",2024,,,,,,,,,,,,,,,,,
"Data Augmentation with Python: Enhance deep learning accuracy with data augmentation methods for image, text, audio, and tabular data",,D Haba,2023,,,,,,,,,,,,,,,,,
Joint audio and speech understanding,,"Y Gong, AH Liu, H Luo, L Karlinsky, ...",2023,,,,,,,,,,,,,,,,,
Exploring practical vulnerabilities of machine learning-based wireless systems,,"Z Liu, C Xu, E Sie, G Singh, D Vasisht",2023,,,,,,,,,,,,,,,,,
Hyper parameter optimized NIDS via machine learning in IoT ecosystem,,"PK Yadav, S Pandey, D Agrawal, ...",2023,,,,,,,,,,,,,,,,,
Transfer learning in natural language processing (NLP),,J Bharadiya,2023,,,,,,,,,,,,,,,,,
Rethinking design and evaluation of 3D point cloud segmentation models,,"T Zoumpekas, M Salamo, A Puig",2022,,,,,,,,,,,,,,,,,
Music enhancement via image translation and vocoding,,"N Kandpal, O Nieto, Z Jin",2022,,,,,,,,,,,,,,,,,
Deep learning based human action recognition,,"R Pandey, Y Chikhale, R Verma, ...",2021,,,,,,,,,,,,,,,,,
Classical Data in Quantum Machine Learning Algorithms: Amplitude Encoding and the Relation Between Entropy and Linguistic Ambiguity,,"J Eisinger, W Gauderis, L Huybrecht, GA Wiggins",2025,,,,,,,,,,,,,,,,,
Keypointnet: A large-scale 3d keypoint dataset aggregated from numerous human annotations,,"Y You, Y Lou, C Li, Z Cheng, L Li, ...",2020,,,,,,,,,,,,,,,,,
uxSense: Supporting user experience analysis with visualization and computer vision,,"A Batch, Y Ji, M Fan, J Zhao, ...",2023,,,,,,,,,,,,,,,,,
DeepEva: A deep neural network architecture for assessing sentence complexity in Italian and English languages,,"GL Bosco, G Pilato, D Schicchi",2021,,,,,,,,,,,,,,,,,
"Computer-Implemented Method, System, and Non-Transitory Computer-Readable Storage Medium for Inferring Audience's Evaluation of Performance Data",,A MAEZAWA,2022,,,,,,,,,,,,,,,,,
TranStutter: A convolution-free transformer-based deep learning method to classify stuttered speech using 2D mel-spectrogram visualization and attention …,,"K Basak, N Mishra, HT Chang",2023,,,,,,,,,,,,,,,,,
Smartphones dependency risk analysis using machine-learning predictive models,,"CF Giraldo-Jiménez, J Gaviria-Chavarro, ...",2022,,,,,,,,,,,,,,,,,
Leveraging hierarchical structures for few-shot musical instrument recognition,,"HF Garcia, A Aguilar, E Manilow, B Pardo",2021,,,,,,,,,,,,,,,,,
Transformer-based seq2seq model for chord progression generation,,"S Li, Y Sung",2023,,,,,,,,,,,,,,,,,
Students' Attention Classification During Class Lecture Using BCI and Machine Learning: A Pathway Towards Neurofeedback-Based Learning,,"F Ishtiaque, EB Motahar, MSR Sajal, ...",2023,,,,,,,,,,,,,,,,,
Compound word transformer: Learning to compose full-song music over dynamic directed hypergraphs,,"WY Hsiao, JY Liu, YC Yeh, YH Yang",2021,,,,,,,,,,,,,,,,,
The development of a predictive opportunity-to-learn model using machine learning,,"BC Wesolowski, A Ng",2020,,,,,,,,,,,,,,,,,
Assisting physiotherapists by designing a system utilising interactive machine learning,,N Georgiev,2021,,,,,,,,,,,,,,,,,
Deep learning for speaker counting and localization with Ambisonics signals,,PA Grumiaux,2021,,,,,,,,,,,,,,,,,
Deep Learning Techniques in DICOM Files Classification: A Systematic Review,,"V Mabirizi, S Kawuma, D Natumanya, ...",2025,,,,,,,,,,,,,,,,,
Evaluation of Image Classification Networks on Impulse Sound Classification Task,,"R Nalla, M Varela, M Oispuu",2021,,,,,,,,,,,,,,,,,
Helping hearing-impaired in emergency situations: A deep learning-based approach,,"QM Areeb, M Nadeem, R Alroobaea, F Anwer",2022,,,,,,,,,,,,,,,,,
Enabling new interactions with library digital collections: automatic gender recognition in historical postcards via deep learning,,"R Schuerkamp, J Barrett, A Bales, A Wegner, ...",2023,,,,,,,,,,,,,,,,,
Going in style: Audio backdoors through stylistic transformations,,"S Koffas, L Pajola, S Picek, ...",2023,,,,,,,,,,,,,,,,,
Create caption by extracting features from image and video using deep learning model,,G DUTTA,2021,,,,,,,,,,,,,,,,,
Deep learning: a visual approach,,A Glassner,2021,,,,,,,,,,,,,,,,,
Neural parametric equalizer matching using differentiable biquads,,S Nercessian,2020,,,,,,,,,,,,,,,,,
An Efficient Machine Learning Approach for Detecting Malwares in IoT Environment,,"R Kumar, A Anand, N Singh, D Singh, ...",2023,,,,,,,,,,,,,,,,,
Race against the Machine: can deep learning recognize microstructures as well as the trained human eye?,,"M Larmuseau, M Sluydts, K Theuwissen, L Duprez, ...",2021,,,,,,,,,,,,,,,,,
Increasing exploitation durability of two-layer cast mill rolls and assessment of the applicability of the XGBoost machine learning method to manage their …,,"T Vlasenko, S Glowacki, V Vlasovets, T Hutsol, T Nurek, ...",2024,,,,,,,,,,,,,,,,,
Humans Need Not Apply: A Guide to Wealth &Work in the Age of Artificial Intelligence,,J Kaplan,2020,,,,,,,,,,,,,,,,,
Interpretability of deep learning classification for low-carbon steel microstructures,,"T Maemura, H Terasaki, K Tsutsui, K Uto, ...",2020,,,,,,,,,,,,,,,,,
Application of machine learning algorithms on VIV fatigue life assessment of multi-spanning subsea pipelines,,M Abdolalipour Miandoab,2023,,,,,,,,,,,,,,,,,
Few-shot musical source separation,,"Y Wang, D Stoller, RM Bittner, ...",2022,,,,,,,,,,,,,,,,,
Mind meets machine: Unravelling GPT-4's cognitive psychology,,"S Dhingra, M Singh, N Malviya, SS Gill",2023,,,,,,,,,,,,,,,,,
Debugging Machine Learning Models with Python,,"A Madani, S MacKinnon",2023,,,,,,,,,,,,,,,,,
Artificial intelligence for medical imaging,,"K Tran, JP Bøtker, A Aframian, ...",2020,,,,,,,,,,,,,,,,,
Machine learning-based quantitative structure-activity relationship and ADMET prediction models for erα activity of anti-breast cancer drug candidates,,XU Zonghuang,2023,,,,,,,,,,,,,,,,,
